id,target,epsilon,delta,tempo_inicio,tempo_fim,prediction
14,0,0.4,0.05,Sun Jul 25 20:18:37 -03 2021,Sun Jul 25 20:18:38 -03 2021,1496591
1,1,0.2,0.05,Sun Jul 25 20:18:39 -03 2021,Sun Jul 25 20:18:40 -03 2021,6443
14,8,0.1,0.01,Sun Jul 25 20:18:41 -03 2021,Sun Jul 25 20:18:43 -03 2021,80
14,7,0.2,0.1,Sun Jul 25 20:18:44 -03 2021,Sun Jul 25 20:18:45 -03 2021,218945
11,1,0.1,0.05,Sun Jul 25 20:18:46 -03 2021,Sun Jul 25 20:18:47 -03 2021,5498
10,1,0.3,0.01,Sun Jul 25 20:18:48 -03 2021,Sun Jul 25 20:18:50 -03 2021,6999
10,0,0.2,0.1,Sun Jul 25 20:18:51 -03 2021,Sun Jul 25 20:18:52 -03 2021,1815208
0,7,0.3,0.01,Sun Jul 25 20:18:53 -03 2021,Sun Jul 25 20:18:55 -03 2021,207008
6,0,0.4,0.1,Sun Jul 25 20:18:56 -03 2021,Sun Jul 25 20:18:57 -03 2021,1632644
10,8,0.4,0.01,Sun Jul 25 20:18:58 -03 2021,Sun Jul 25 20:19:00 -03 2021,52
8,8,0.4,0.1,Sun Jul 25 20:19:01 -03 2021,Sun Jul 25 20:19:02 -03 2021,46
6,8,0.3,0.01,Sun Jul 25 20:19:03 -03 2021,Sun Jul 25 20:19:05 -03 2021,109
16,8,0.2,0.01,Sun Jul 25 20:19:06 -03 2021,Sun Jul 25 20:19:08 -03 2021,83
14,0,0.2,0.05,Sun Jul 25 20:19:09 -03 2021,Sun Jul 25 20:19:10 -03 2021,1630028
9,0,0.4,0.01,Sun Jul 25 20:19:11 -03 2021,Sun Jul 25 20:19:13 -03 2021,1955431
13,8,0.2,0.05,Sun Jul 25 20:19:14 -03 2021,Sun Jul 25 20:19:15 -03 2021,75
17,8,0.3,0.05,Sun Jul 25 20:19:16 -03 2021,Sun Jul 25 20:19:17 -03 2021,86
8,0,0.1,0.01,Sun Jul 25 20:19:18 -03 2021,Sun Jul 25 20:19:20 -03 2021,1460367
6,8,0.2,0.05,Sun Jul 25 20:19:21 -03 2021,Sun Jul 25 20:19:22 -03 2021,66
2,1,0.1,0.01,Sun Jul 25 20:19:23 -03 2021,Sun Jul 25 20:19:25 -03 2021,6869
4,0,0.4,0.1,Sun Jul 25 20:19:26 -03 2021,Sun Jul 25 20:19:27 -03 2021,1433709
13,0,0.2,0.05,Sun Jul 25 20:19:28 -03 2021,Sun Jul 25 20:19:30 -03 2021,1172041
1,0,0.1,0.01,Sun Jul 25 20:19:31 -03 2021,Sun Jul 25 20:19:32 -03 2021,1626291
18,8,0.3,0.05,Sun Jul 25 20:19:33 -03 2021,Sun Jul 25 20:19:35 -03 2021,76
2,0,0.1,0.01,Sun Jul 25 20:19:36 -03 2021,Sun Jul 25 20:19:37 -03 2021,1668467
7,1,0.3,0.05,Sun Jul 25 20:19:38 -03 2021,Sun Jul 25 20:19:40 -03 2021,5692
19,8,0.4,0.1,Sun Jul 25 20:19:41 -03 2021,Sun Jul 25 20:19:42 -03 2021,75
17,7,0.4,0.05,Sun Jul 25 20:19:43 -03 2021,Sun Jul 25 20:19:44 -03 2021,154540
18,8,0.2,0.05,Sun Jul 25 20:19:45 -03 2021,Sun Jul 25 20:19:46 -03 2021,75
15,8,0.1,0.01,Sun Jul 25 20:19:47 -03 2021,Sun Jul 25 20:19:49 -03 2021,86
13,1,0.1,0.01,Sun Jul 25 20:19:50 -03 2021,Sun Jul 25 20:19:52 -03 2021,6474
16,0,0.2,0.1,Sun Jul 25 20:19:53 -03 2021,Sun Jul 25 20:19:54 -03 2021,1467634
18,0,0.1,0.05,Sun Jul 25 20:19:55 -03 2021,Sun Jul 25 20:19:56 -03 2021,1579366
12,0,0.1,0.01,Sun Jul 25 20:19:57 -03 2021,Sun Jul 25 20:19:59 -03 2021,1486558
4,0,0.2,0.05,Sun Jul 25 20:20:00 -03 2021,Sun Jul 25 20:20:02 -03 2021,1451991
18,1,0.1,0.05,Sun Jul 25 20:20:03 -03 2021,Sun Jul 25 20:20:04 -03 2021,6867
14,1,0.2,0.01,Sun Jul 25 20:20:05 -03 2021,Sun Jul 25 20:20:07 -03 2021,7061
8,7,0.2,0.01,Sun Jul 25 20:20:08 -03 2021,Sun Jul 25 20:20:09 -03 2021,222191
7,8,0.1,0.01,Sun Jul 25 20:20:10 -03 2021,Sun Jul 25 20:20:12 -03 2021,77
