id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,weight
1,4,0.01,10000,1666,606164,78886,28602776,0,0,3558302,3575344
5,0,0.2,100000,16666,618429,9728,2114328,0,0,50808,264288
8,4,0.05,1000000,166666,605297,80419,28618392,0,0,3577276,3577296
3,0,0.1,10000,1249,708193,681,192152,0,0,3021,24016
5,4,0.1,100000,99999,610011,80773,28617720,0,0,3577212,3577212
6,0,0.1,100000,16666,623668,9771,2114328,0,0,50808,264288
5,3,0.01,10000,1249,602853,36770,28618392,0,0,3577296,3577296
3,6,0.05,100000,24999,614459,114747,28177448,0,0,3482451,3522178
9,3,0.05,1000000,249999,600595,41090,28618392,0,0,3577296,3577296
2,3,0.01,10000,9999,603300,36827,28618392,0,0,3577296,3577296
5,3,0.1,10000,9999,598075,36824,28618392,0,0,3577296,3577296
4,5,0.05,100000,24999,603795,81255,28617888,0,0,3576628,3577233
8,4,0.01,1000000,999999,602842,79508,28618392,0,0,3577296,3577296
2,7,0.05,100000,12499,616775,107203,27368832,0,0,3150124,3421101
8,5,0.1,100000,12499,603598,81147,28617888,0,0,3575864,3577233
4,3,0.05,10000,9999,596442,36675,28618392,0,0,3577296,3577296
8,0,0.2,1000000,124999,623997,89883,18716496,0,0,315016,2339559
7,3,0.05,1000000,999999,601847,36652,28618392,0,0,3577296,3577296
2,5,0.2,100000,99999,604929,81468,28617888,0,0,3577233,3577233
6,0,0.2,1000000,249999,627342,91260,18716496,0,0,611407,2339559
7,7,0.01,10000,1249,622426,88489,24744088,0,0,2332892,3093008
1,4,0.2,1000000,124999,621130,80675,28618392,0,0,3577251,3577296
5,7,0.2,100000,24999,627000,108152,27368832,0,0,3273316,3421101
5,6,0.01,100000,49999,617223,116007,28177448,0,0,3509476,3522178
7,5,0.05,1000000,249999,607818,77944,28618392,0,0,3577286,3577296
6,7,0.1,100000,16666,620269,111470,27368832,0,0,3203628,3421101
3,4,0.1,1000000,124999,610829,79887,28618392,0,0,3577251,3577296
6,3,0.1,100000,49999,603912,37064,28618392,0,0,3577296,3577296
0,7,0.05,10000,1666,618292,88351,24744088,0,0,2428904,3093008
7,0,0.1,1000000,166666,626228,90475,18716496,0,0,406042,2339559
1,6,0.01,1000000,166666,621048,117255,28412664,0,0,3527618,3551580
1,6,0.05,10000,4999,619850,106834,27125304,0,0,3227578,3390660
2,4,0.1,10000,9999,608067,78110,28602776,0,0,3575342,3575344
0,6,0.05,100000,99999,617536,114924,28177448,0,0,3522178,3522178
8,6,0.2,100000,16666,616646,115090,28177448,0,0,3452021,3522178
2,0,0.01,10000,2499,616591,701,192152,0,0,5916,24016
5,4,0.1,1000000,249999,604384,78747,28618392,0,0,3577292,3577296
5,6,0.1,1000000,166666,617628,117720,28412664,0,0,3527618,3551580
8,7,0.05,1000000,499999,624414,112586,28248248,0,0,3505738,3531028
1,0,0.1,1000000,124999,632286,90603,18716496,0,0,315016,2339559
1,0,0.01,10000,1249,620594,687,192152,0,0,3021,24016
6,0,0.2,100000,16666,619721,9753,2114328,0,0,50808,264288
8,3,0.05,10000,4999,599951,37260,28618392,0,0,3577296,3577296
1,0,0.1,1000000,499999,634357,91995,18716496,0,0,1216912,2339559
0,5,0.1,100000,12499,608504,82180,28617888,0,0,3575864,3577233
7,7,0.05,100000,16666,619245,109255,27368832,0,0,3203628,3421101
7,0,0.01,100000,99999,620893,9699,2114328,0,0,264286,264288
1,7,0.2,10000,1666,620619,89388,24744088,0,0,2428904,3093008
1,7,0.05,1000000,499999,618899,113824,28248248,0,0,3505738,3531028
8,5,0.1,10000,9999,609769,80807,28603320,0,0,3575410,3575412
7,0,0.1,10000,4999,616770,681,192152,0,0,12041,24016
1,5,0.01,100000,49999,605401,81869,28617888,0,0,3577025,3577233
2,4,0.01,1000000,249999,607408,80172,28618392,0,0,3577292,3577296
8,7,0.01,10000,4999,619299,87636,24744088,0,0,2853787,3093008
8,4,0.2,1000000,124999,605044,80650,28618392,0,0,3577251,3577296
9,4,0.1,100000,49999,606134,79368,28617720,0,0,3576994,3577212
3,4,0.05,10000,2499,608168,78487,28602776,0,0,3566981,3575344
4,7,0.01,100000,16666,626056,112907,27368832,0,0,3203628,3421101
6,4,0.1,1000000,166666,639476,84980,28618392,0,0,3577276,3577296
7,3,0.2,100000,99999,640470,39637,28618392,0,0,3577296,3577296
5,4,0.01,10000,1666,628684,80524,28602776,0,0,3558302,3575344
6,3,0.01,100000,12499,604089,36601,28618392,0,0,3577296,3577296
8,4,0.01,10000,4999,606503,77561,28602776,0,0,3572608,3575344
9,7,0.01,1000000,499999,614584,113326,28248248,0,0,3505738,3531028
6,4,0.01,1000000,166666,609137,80093,28618392,0,0,3577276,3577296
3,0,0.2,1000000,999999,623152,91170,18716496,0,0,2339557,2339559
5,4,0.05,1000000,999999,602794,79281,28618392,0,0,3577296,3577296
2,7,0.1,10000,4999,614741,88837,24744088,0,0,2853787,3093008
6,5,0.2,10000,1249,604919,80301,28603320,0,0,3547772,3575412
2,0,0.2,10000,9999,619260,720,192152,0,0,24013,24016
0,7,0.2,10000,9999,619417,89336,24744088,0,0,3092953,3093008
2,7,0.05,10000,9999,631246,89096,24744088,0,0,3092953,3093008
9,5,0.1,1000000,499999,605557,79071,28618392,0,0,3577294,3577296
2,0,0.01,100000,16666,618287,9546,2114328,0,0,50808,264288
7,6,0.01,10000,4999,632433,106549,27125304,0,0,3227578,3390660
7,4,0.2,1000000,124999,609923,79893,28618392,0,0,3577251,3577296
7,6,0.05,10000,1249,617645,105805,27125304,0,0,2454402,3390660
8,6,0.2,10000,4999,617052,106029,27125304,0,0,3227578,3390660
6,4,0.2,10000,9999,604496,79991,28602776,0,0,3575342,3575344
8,7,0.05,1000000,166666,623549,112644,28248248,0,0,3452916,3531028
0,0,0.05,10000,2499,621589,690,192152,0,0,5916,24016
9,6,0.1,100000,49999,626924,117452,28177448,0,0,3509476,3522178
3,3,0.1,100000,24999,608441,39861,28618392,0,0,3577296,3577296
1,3,0.2,100000,99999,605059,36952,28618392,0,0,3577296,3577296
3,0,0.2,100000,99999,616671,9602,2114328,0,0,264286,264288
4,6,0.05,10000,1666,614700,104526,27125304,0,0,2647545,3390660
0,7,0.2,10000,1666,617738,88280,24744088,0,0,2428904,3093008
1,3,0.05,1000000,249999,599965,37401,28618392,0,0,3577296,3577296
5,5,0.05,1000000,166666,608069,78289,28618392,0,0,3577279,3577296
9,3,0.01,1000000,166666,598993,37040,28618392,0,0,3577296,3577296
9,5,0.1,100000,24999,605941,81399,28617888,0,0,3576628,3577233
0,0,0.1,1000000,124999,628406,89770,18716496,0,0,315016,2339559
3,4,0.1,100000,49999,603568,79681,28617720,0,0,3576994,3577212
6,0,0.01,100000,99999,615812,9685,2114328,0,0,264286,264288
3,7,0.1,10000,4999,618238,89097,24744088,0,0,2853787,3093008
3,5,0.1,100000,99999,610845,83615,28617888,0,0,3577233,3577233
2,3,0.2,1000000,499999,605005,36906,28618392,0,0,3577296,3577296
7,4,0.05,10000,1249,620131,81089,28602776,0,0,3547660,3575344
1,5,0.05,100000,99999,627019,84717,28617888,0,0,3577233,3577233
0,3,0.01,100000,24999,606435,40392,28618392,0,0,3577296,3577296
8,6,0.01,100000,16666,637060,118072,28177448,0,0,3452021,3522178
4,7,0.01,10000,2499,629432,91910,24744088,0,0,2560434,3093008
3,6,0.2,10000,1666,636779,106519,27125304,0,0,2647545,3390660
0,7,0.1,10000,1666,627867,90321,24744088,0,0,2428904,3093008
7,6,0.2,100000,24999,621693,117346,28177448,0,0,3482451,3522178
1,3,0.2,10000,9999,608078,37257,28618392,0,0,3577296,3577296
2,6,0.05,10000,1666,628280,105898,27125304,0,0,2647545,3390660
8,3,0.2,10000,4999,600078,37262,28618392,0,0,3577296,3577296
7,5,0.01,10000,9999,609109,80537,28603320,0,0,3575410,3575412
3,5,0.05,100000,49999,622412,82798,28617888,0,0,3577025,3577233
3,3,0.01,100000,49999,608877,38760,28618392,0,0,3577296,3577296
5,3,0.01,1000000,124999,617366,40994,28618392,0,0,3577296,3577296
3,5,0.1,10000,1666,631558,82949,28603320,0,0,3556388,3575412
8,5,0.2,1000000,166666,640526,84334,28618392,0,0,3577279,3577296
2,5,0.01,100000,24999,652394,86814,28617888,0,0,3576628,3577233
2,5,0.1,10000,1249,635276,84869,28603320,0,0,3547772,3575412
7,7,0.05,10000,1249,643923,89347,24744088,0,0,2332892,3093008
3,7,0.05,1000000,249999,622026,114554,28248248,0,0,3474855,3531028
7,5,0.05,1000000,166666,615816,80758,28618392,0,0,3577279,3577296
5,6,0.01,100000,16666,641799,116028,28177448,0,0,3452021,3522178
4,4,0.2,100000,49999,612079,81410,28617720,0,0,3576994,3577212
1,7,0.1,1000000,166666,618686,113454,28248248,0,0,3452916,3531028
3,3,0.2,1000000,249999,603826,38200,28618392,0,0,3577296,3577296
2,3,0.1,1000000,499999,615834,38001,28618392,0,0,3577296,3577296
5,5,0.01,1000000,249999,634835,79944,28618392,0,0,3577286,3577296
4,7,0.1,10000,1249,621065,88529,24744088,0,0,2332892,3093008
0,3,0.2,10000,2499,601432,36765,28618392,0,0,3577296,3577296
5,7,0.05,10000,9999,617303,87974,24744088,0,0,3092953,3093008
2,0,0.01,10000,4999,620193,696,192152,0,0,12041,24016
6,4,0.01,10000,2499,603881,78314,28602776,0,0,3566981,3575344
2,3,0.1,100000,99999,601839,37189,28618392,0,0,3577296,3577296
2,7,0.01,100000,12499,622290,108773,27368832,0,0,3150124,3421101
6,5,0.1,1000000,166666,608470,78911,28618392,0,0,3577279,3577296
8,0,0.05,1000000,166666,630335,91387,18716496,0,0,406042,2339559
9,5,0.01,1000000,999999,607899,78978,28618392,0,0,3577296,3577296
8,6,0.05,10000,4999,613057,105507,27125304,0,0,3227578,3390660
4,7,0.2,10000,9999,623403,88415,24744088,0,0,3092953,3093008
3,0,0.1,1000000,999999,626669,92480,18716496,0,0,2339557,2339559
1,3,0.1,10000,4999,604366,36599,28618392,0,0,3577296,3577296
6,4,0.2,1000000,499999,604765,79329,28618392,0,0,3577296,3577296
1,3,0.1,1000000,166666,597533,37592,28618392,0,0,3577296,3577296
3,0,0.05,10000,1249,615287,731,192152,0,0,3021,24016
2,5,0.1,100000,99999,604989,82121,28617888,0,0,3577233,3577233
6,4,0.05,100000,16666,607004,79876,28617720,0,0,3576197,3577212
1,4,0.01,100000,49999,606175,81483,28617720,0,0,3576994,3577212
0,0,0.1,1000000,166666,624656,90103,18716496,0,0,406042,2339559
3,3,0.2,10000,9999,601244,36895,28618392,0,0,3577296,3577296
6,6,0.2,10000,1666,617902,106762,27125304,0,0,2647545,3390660
2,7,0.2,100000,24999,616850,107468,27368832,0,0,3273316,3421101
7,5,0.01,10000,4999,608927,80433,28603320,0,0,3571916,3575412
3,5,0.01,10000,1666,609312,80323,28603320,0,0,3556388,3575412
3,3,0.05,10000,1249,596371,37088,28618392,0,0,3577296,3577296
5,4,0.2,100000,16666,606323,80179,28617720,0,0,3576197,3577212
5,4,0.01,1000000,124999,607633,79586,28618392,0,0,3577251,3577296
9,7,0.2,1000000,166666,623279,113050,28248248,0,0,3452916,3531028
3,0,0.05,10000,2499,615028,701,192152,0,0,5916,24016
3,6,0.2,10000,9999,616673,105966,27125304,0,0,3390637,3390660
1,6,0.01,100000,16666,619691,115770,28177448,0,0,3452021,3522178
3,4,0.2,10000,1666,608046,78595,28602776,0,0,3558302,3575344
6,4,0.05,100000,99999,607676,80226,28617720,0,0,3577212,3577212
9,5,0.01,1000000,249999,605528,77799,28618392,0,0,3577286,3577296
7,6,0.01,1000000,999999,614354,115554,28412664,0,0,3551580,3551580
8,5,0.1,100000,49999,611742,81677,28617888,0,0,3577025,3577233
3,6,0.2,100000,16666,616907,114680,28177448,0,0,3452021,3522178
3,0,0.2,1000000,124999,623939,90208,18716496,0,0,315016,2339559
3,4,0.05,1000000,166666,602280,79903,28618392,0,0,3577276,3577296
1,0,0.2,10000,9999,616128,705,192152,0,0,24013,24016
6,7,0.05,100000,12499,616403,106929,27368832,0,0,3150124,3421101
6,0,0.05,100000,24999,618535,9617,2114328,0,0,79057,264288
6,7,0.01,1000000,166666,622643,112318,28248248,0,0,3452916,3531028
0,5,0.01,100000,16666,605860,80612,28617888,0,0,3576277,3577233
0,6,0.05,1000000,249999,614751,116549,28412664,0,0,3531027,3551580
6,5,0.05,10000,2499,605144,80745,28603320,0,0,3564911,3575412
7,7,0.05,100000,99999,616892,107523,27368832,0,0,3421101,3421101
6,3,0.01,10000,9999,598807,37239,28618392,0,0,3577296,3577296
8,3,0.2,1000000,249999,610965,37212,28618392,0,0,3577296,3577296
2,7,0.01,100000,49999,617711,107719,27368832,0,0,3355711,3421101
5,6,0.05,100000,99999,614015,114425,28177448,0,0,3522178,3522178
4,3,0.2,100000,24999,602331,36779,28618392,0,0,3577296,3577296
3,7,0.2,1000000,999999,617586,112549,28248248,0,0,3531028,3531028
2,3,0.1,100000,24999,599819,38294,28618392,0,0,3577296,3577296
3,7,0.1,100000,12499,644614,108085,27368832,0,0,3150124,3421101
5,3,0.05,100000,24999,603761,37187,28618392,0,0,3577296,3577296
7,4,0.05,10000,2499,609621,79551,28602776,0,0,3566981,3575344
