id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
9,5,0.1,1000000,499999,2077465,3,1080,199,0,3285506243
2,0,0.01,100000,16666,2535934,10,22080,1699,0,4006664031
7,6,0.01,10000,4999,22447756,9,15824,1399,0,1096610942
7,4,0.2,1000000,124999,1216617,2,544,99,0,2053285643
7,6,0.05,10000,1249,4460107,4,3216,279,0,3684527448
8,6,0.2,10000,4999,2237484,3,1296,69,0,3418608965
6,4,0.2,10000,9999,1157880,3,464,69,0,2895709491
8,7,0.05,1000000,166666,4548987,3,3304,399,0,2524442500
0,0,0.05,10000,2499,756697,7,13832,279,0,3072942384
9,6,0.1,100000,49999,3006666,3,1984,169,0,3099100467
3,3,0.1,100000,24999,868535,3,184,173,0,4292873276
1,3,0.2,100000,99999,872896,3,176,88,0,4231009164
3,0,0.2,100000,99999,732160,3,1168,84,0,2995105835
4,6,0.05,10000,1666,4495179,3,3216,279,0,4105425308
0,7,0.2,10000,1666,1092405,3,472,69,0,4294941802
1,3,0.05,1000000,249999,908549,3,208,404,0,4287243515
5,5,0.05,1000000,166666,2651934,3,1496,399,0,224362644
9,3,0.01,1000000,166666,915832,3,208,2004,0,4294115248
9,5,0.1,100000,24999,2253383,4,1056,169,0,534658012
0,0,0.1,1000000,124999,19547051,10,16944,199,0,2789225545
3,4,0.1,100000,49999,1845124,3,880,169,0,38279870
6,0,0.01,100000,99999,2558444,10,22080,1699,0,1494019501
3,7,0.1,10000,4999,2333755,5,1328,139,0,4089164140
3,5,0.1,100000,99999,2264589,3,1056,169,0,534700951
2,3,0.2,1000000,499999,895178,3,192,102,0,4294173932
7,4,0.05,10000,1249,1827090,2,1008,279,0,2245319465
1,5,0.05,100000,99999,2634945,3,1392,339,0,3430313634
0,3,0.01,100000,24999,859959,3,184,1705,0,4289738354
8,6,0.01,100000,16666,21103587,8,15872,1699,0,2964135797
4,7,0.01,10000,2499,10009375,5,8864,1399,0,2878313896
3,6,0.2,10000,1666,2242687,3,1296,69,0,3851790509
0,7,0.1,10000,1666,2340083,2,1328,139,0,225968364
7,6,0.2,100000,24999,2575036,4,1368,84,0,1903625286
1,3,0.2,10000,9999,808521,3,144,73,0,4288169088
2,6,0.05,10000,1666,4456000,4,3216,279,0,4105425308
8,3,0.2,10000,4999,806997,2,144,73,0,4288117984
7,5,0.01,10000,9999,3803500,3,2696,1399,0,1355015278
3,5,0.05,100000,49999,2652182,3,1392,339,0,3430302775
3,3,0.01,100000,49999,866803,3,184,1705,0,4289530687
5,3,0.01,1000000,124999,917705,3,208,2004,0,4294113460
3,5,0.1,10000,1666,1872309,3,856,139,0,278899838
8,5,0.2,1000000,166666,1775937,3,736,99,0,2885573895
2,5,0.01,100000,24999,4352446,4,3008,1699,0,2420554392
2,5,0.1,10000,1249,1860103,3,856,139,0,278899838
7,7,0.05,10000,1249,2499598,4,1808,279,0,3872263658
3,7,0.05,1000000,249999,4544596,11,3304,399,0,2524442500
7,5,0.05,1000000,166666,2641635,3,1496,399,0,224362644
5,6,0.01,100000,16666,21080399,9,15872,1699,0,2964135797
4,4,0.2,100000,49999,1221753,2,512,84,0,1884220907
1,7,0.1,1000000,166666,2342195,4,1472,199,0,1637588757
3,3,0.2,1000000,249999,901832,2,192,102,0,4294138160
2,3,0.1,1000000,499999,906749,3,192,203,0,4273694311
5,5,0.01,1000000,249999,5669582,4,3768,1999,0,1833817139
4,7,0.1,10000,1249,2335541,3,1328,139,0,235450116
0,3,0.2,10000,2499,815421,3,144,73,0,4288066880
5,7,0.05,10000,9999,2508353,4,1808,279,0,3383836993
2,0,0.01,10000,4999,892803,12,31856,1399,0,1033911977
6,4,0.01,10000,2499,4125823,4,2616,1399,0,4264777261
2,3,0.1,100000,99999,874701,2,184,173,0,4292915360
2,7,0.01,100000,12499,17902518,6,13880,1699,0,3704180696
6,5,0.1,1000000,166666,2102687,3,1080,199,0,3285488333
8,0,0.05,1000000,166666,4403075,4,5408,399,0,1003013033
9,5,0.01,1000000,999999,5681257,4,3768,1999,0,1833820749
8,6,0.05,10000,4999,4548606,4,3216,279,0,344985497
4,7,0.2,10000,9999,1090496,3,472,69,0,4277963977
3,0,0.1,1000000,999999,19641939,12,16944,199,0,2791201605
1,3,0.1,10000,4999,841272,3,160,144,0,4294314087
6,4,0.2,1000000,499999,1216775,3,544,99,0,832562781
1,3,0.1,1000000,166666,901645,2,192,203,0,4274717437
3,0,0.05,10000,1249,747798,6,13832,279,0,3072939537
2,5,0.1,100000,99999,2267608,3,1056,169,0,534700951
6,4,0.05,100000,16666,1704326,3,992,339,0,4051397743
1,4,0.01,100000,49999,4154073,3,2752,1699,0,2135516777
0,0,0.1,1000000,166666,19516897,9,16944,199,0,2789307669
3,3,0.2,10000,9999,815481,3,144,73,0,4288169088
6,6,0.2,10000,1666,2255070,3,1296,69,0,3851790509
2,7,0.2,100000,24999,1363743,3,632,84,0,4072240365
7,5,0.01,10000,4999,3845689,4,2696,1399,0,1355008738
3,5,0.01,10000,1666,3803223,4,2696,1399,0,1355313022
3,3,0.05,10000,1249,814034,3,144,285,0,4292616532
5,4,0.2,100000,16666,1203533,2,512,84,0,2139057741
5,4,0.01,1000000,124999,3402570,3,2536,1999,0,3842191329
9,7,0.2,1000000,166666,1830102,3,848,99,0,3425277712
3,0,0.05,10000,2499,755008,7,13832,279,0,3072942384
3,6,0.2,10000,9999,2241152,3,1296,69,0,1265923330
1,6,0.01,100000,16666,20724180,9,15872,1699,0,2964135797
3,4,0.2,10000,1666,1147996,3,464,69,0,3509225085
6,4,0.05,100000,99999,1735972,2,992,339,0,4051419092
9,5,0.01,1000000,249999,5631494,4,3768,1999,0,1833817139
7,6,0.01,1000000,999999,19772238,9,16232,1999,0,2396208650
8,5,0.1,100000,49999,2257994,3,1056,169,0,534679574
3,6,0.2,100000,16666,2585090,3,1368,84,0,1903624183
3,0,0.2,1000000,124999,10406769,6,9128,99,0,687794764
3,4,0.05,1000000,166666,1748363,3,1040,399,0,3238306693
1,0,0.2,10000,9999,626862,4,952,69,0,2021211581
6,7,0.05,100000,12499,3448670,3,2536,339,0,1656299083
6,0,0.05,100000,24999,3554112,13,23504,339,0,2764633768
6,7,0.01,1000000,166666,19214511,8,15544,1999,0,4075046211
0,5,0.01,100000,16666,4435408,3,3008,1699,0,2420554392
0,6,0.05,1000000,249999,5970447,4,4424,399,0,1991185451
6,5,0.05,10000,2499,1925110,3,1152,279,0,2421932747
7,7,0.05,100000,99999,3537362,4,2536,339,0,3212228501
6,3,0.01,10000,9999,836594,2,160,1405,0,4293786243
8,3,0.2,1000000,249999,896945,3,192,102,0,4294138160
2,7,0.01,100000,49999,17813132,8,13880,1699,0,2094977123
5,6,0.05,100000,99999,5832205,4,4080,339,0,2464575296
4,3,0.2,100000,24999,861191,3,176,88,0,4238982408
3,7,0.2,1000000,999999,1795926,3,848,99,0,3425415575
2,3,0.1,100000,24999,862641,2,184,173,0,4292873276
3,7,0.1,100000,12499,2506275,3,1440,169,0,2658859038
5,3,0.05,100000,24999,885604,2,184,345,0,4286043802
7,4,0.05,10000,2499,1839781,3,1008,279,0,2245350207
7,7,0.05,10000,1666,2503247,3,1808,279,0,62015962
2,7,0.05,10000,1249,2523532,3,1808,279,0,3872263658
1,7,0.01,1000000,166666,19138413,8,15544,1999,0,4075046211
1,7,0.1,100000,16666,2428818,3,1440,169,0,2658927813
7,5,0.01,100000,12499,4353256,4,3008,1699,0,2420550781
1,7,0.1,100000,24999,2440906,2,1440,169,0,2658951524
3,4,0.05,100000,24999,1712304,3,992,339,0,4051397743
4,7,0.05,100000,99999,3502480,4,2536,339,0,3212228501
4,3,0.1,10000,2499,843829,3,160,144,0,4294288535
4,6,0.01,10000,9999,22358920,10,15824,1399,0,1752617707
6,3,0.01,100000,99999,856859,2,184,1705,0,4289532791
6,6,0.2,100000,24999,2557513,3,1368,84,0,1903625286
4,5,0.05,100000,12499,2639981,3,1392,339,0,3430279716
2,6,0.05,100000,12499,5822189,4,4080,339,0,2464469397
8,7,0.05,100000,49999,3436369,3,2536,339,0,3285114914
