id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
7,0,0.05,100000,135233,4931669,113718,2114328,0,0,264288,264288
1,4,0.2,1000000,1677330,5533573,713565,28618392,0,0,3577296,3577296
8,3,0.1,100000,3216888,5406161,455238,28618392,0,0,3577296,3577296
2,0,0.01,10000,536,5503767,1040,192152,0,0,1265,24016
7,6,0.05,10000,1027970,6047741,1015960,27125304,0,0,3390660,3390660
9,5,0.1,1000000,298452,6144844,762863,28618392,0,0,3577287,3577296
5,7,0.05,10000,2453694,5709478,646538,24744088,0,0,3093008,3093008
7,5,0.1,10000,855920,5169166,934994,28603320,0,0,3575412,3575412
9,0,0.2,100000,259904,6064504,136673,2114328,0,0,264288,264288
3,4,0.05,100000,2778730,6197973,907252,28617720,0,0,3577212,3577212
3,5,0.2,1000000,1599628,4602389,725231,28618392,0,0,3577296,3577296
8,6,0.05,10000,2762264,5732010,1035094,27125304,0,0,3390660,3390660
7,3,0.01,1000000,3538840,5629584,454270,28618392,0,0,3577296,3577296
5,7,0.2,1000000,1763586,6156562,821199,28248248,0,0,3531028,3531028
9,0,0.2,1000000,1005800,6084613,759638,18716496,0,0,2339559,2339559
9,0,0.05,10000,23636,6851049,949,192152,0,0,24016,24016
6,3,0.01,100000,3538840,5705338,499079,28618392,0,0,3577296,3577296
5,5,0.01,10000,1832172,6371267,739073,28603320,0,0,3575412,3575412
7,0,0.2,10000,22917,6385400,949,192152,0,0,24016,24016
9,6,0.2,10000,3390659,5079210,816367,27125304,0,0,3390660,3390660
1,7,0.1,1000000,3392804,5618589,912875,28248248,0,0,3531028,3531028
6,6,0.1,10000,857685,5144902,974304,27125304,0,0,3390660,3390660
2,7,0.01,100000,2586291,6660533,936231,27368832,0,0,3421101,3421101
5,5,0.05,1000000,941345,5019642,704824,28618392,0,0,3577296,3577296
5,5,0.2,1000000,1599628,6273278,923283,28618392,0,0,3577296,3577296
6,5,0.1,100000,3577232,5427614,834639,28617888,0,0,3577233,3577233
5,4,0.01,100000,2690337,5305644,790534,28617720,0,0,3577212,3577212
4,5,0.1,10000,2749578,6100860,898507,28603320,0,0,3575412,3575412
0,4,0.2,10000,1677330,6078461,887054,28602776,0,0,3575344,3575344
1,4,0.2,10000,2865683,5730846,849013,28602776,0,0,3575344,3575344
7,7,0.2,10000,3093007,5160723,576188,24744088,0,0,3093008,3093008
3,7,0.2,100000,1833759,5817851,1114129,27368832,0,0,3421101,3421101
1,6,0.2,10000,2068574,4868576,772810,27125304,0,0,3390660,3390660
6,6,0.01,1000000,511613,5402734,1106050,28412664,0,0,3539501,3551580
9,3,0.01,100000,3577295,5848325,450742,28618392,0,0,3577296,3577296
3,4,0.01,1000000,2690337,4713666,654790,28618392,0,0,3577296,3577296
0,7,0.01,1000000,1145441,5888647,1083210,28248248,0,0,3531028,3531028
6,5,0.01,1000000,2712332,5555316,983514,28618392,0,0,3577296,3577296
4,0,0.01,10000,24015,6068806,960,192152,0,0,24016,24016
9,4,0.05,10000,2778730,5058797,585603,28602776,0,0,3575344,3575344
0,5,0.1,1000000,1695850,4887927,667450,28618392,0,0,3577296,3577296
1,5,0.1,10000,855920,6117062,806711,28603320,0,0,3575412,3575412
2,5,0.2,100000,3577232,5322820,646346,28617888,0,0,3577233,3577233
9,5,0.1,100000,855922,6012746,802067,28617888,0,0,3577233,3577233
2,4,0.2,100000,1677330,5309636,619424,28617720,0,0,3577212,3577212
4,4,0.01,1000000,2690337,5857271,955154,28618392,0,0,3577296,3577296
8,5,0.2,1000000,2714523,5769034,705823,28618392,0,0,3577296,3577296
0,6,0.05,1000000,1942447,4854754,1146827,28412664,0,0,3551580,3551580
1,6,0.01,10000,2581989,5878961,1249676,27125304,0,0,3390660,3390660
3,7,0.2,1000000,1763586,6494741,868866,28248248,0,0,3531028,3531028
8,0,0.1,1000000,1304823,6401034,835994,18716496,0,0,2339559,2339559
3,4,0.05,1000000,1019924,6139674,812769,28618392,0,0,3577296,3577296
3,4,0.1,100000,3269213,5163870,921312,28617720,0,0,3577212,3577212
8,3,0.01,1000000,3538840,6234382,537842,28618392,0,0,3577296,3577296
7,7,0.01,1000000,1771731,5441219,851413,28248248,0,0,3531028,3531028
0,7,0.1,100000,988087,6380349,997130,27368832,0,0,3421101,3421101
4,0,0.1,100000,146757,5413829,63918,2114328,0,0,264288,264288
5,5,0.05,100000,941344,4685582,733920,28617888,0,0,3577233,3577233
8,6,0.1,10000,857685,6214046,1120672,27125304,0,0,3390660,3390660
9,0,0.01,100000,201306,6265876,93835,2114328,0,0,264288,264288
0,3,0.2,1000000,2859158,5915280,339839,28618392,0,0,3577296,3577296
7,4,0.2,10000,2865683,5344117,675823,28602776,0,0,3575344,3575344
9,3,0.01,10000,3538840,4996682,589184,28618392,0,0,3577296,3577296
9,7,0.01,1000000,1145441,5952619,891725,28248248,0,0,3531028,3531028
7,4,0.01,1000000,3577295,6131937,880736,28618392,0,0,3577296,3577296
3,3,0.01,10000,3538840,5005017,406101,28618392,0,0,3577296,3577296
5,3,0.01,100000,3538840,5492290,559935,28618392,0,0,3577296,3577296
3,5,0.01,100000,1082144,4806099,774026,28617888,0,0,3577233,3577233
0,7,0.01,10000,1149864,5912509,500516,24744088,0,0,3093008,3093008
9,5,0.01,1000000,1832153,6061062,690281,28618392,0,0,3577296,3577296
9,5,0.1,100000,2749578,6143116,905827,28617888,0,0,3577233,3577233
3,4,0.05,10000,2778730,5390757,395732,28602776,0,0,3575344,3575344
8,6,0.05,1000000,3551579,5908204,1273685,28412664,0,0,3551580,3551580
7,6,0.01,1000000,511613,6376576,1089046,28412664,0,0,3539501,3551580
6,5,0.2,10000,3575411,5429781,820186,28603320,0,0,3575412,3575412
1,5,0.01,100000,3577232,5969007,753541,28617888,0,0,3577233,3577233
5,4,0.2,10000,3575343,5587719,922997,28602776,0,0,3575344,3575344
8,4,0.05,1000000,2778730,6167577,1131912,28618392,0,0,3577296,3577296
5,6,0.2,10000,1182085,6215214,982330,27125304,0,0,3390660,3390660
3,7,0.1,10000,871629,5913987,1160925,24744088,0,0,3093008,3093008
9,6,0.05,10000,3333095,4894895,1066218,27125304,0,0,3390660,3390660
4,7,0.05,1000000,3444127,5964198,1197544,28248248,0,0,3531028,3531028
1,0,0.01,100000,201306,6090827,85741,2114328,0,0,264288,264288
5,5,0.1,100000,855922,4816504,879678,28617888,0,0,3577233,3577233
5,0,0.1,10000,5087,4453363,1360,192152,0,0,12209,24016
6,4,0.01,100000,1162874,5638665,907994,28617720,0,0,3577212,3577212
3,3,0.2,100000,2859158,5915758,502050,28618392,0,0,3577296,3577296
1,3,0.2,10000,2859158,5972784,558068,28618392,0,0,3577296,3577296
0,5,0.01,10000,3575411,5371595,938425,28603320,0,0,3575412,3575412
8,5,0.05,1000000,2970122,6250023,894124,28618392,0,0,3577296,3577296
5,5,0.2,1000000,3577295,6168634,961240,28618392,0,0,3577296,3577296
1,4,0.01,1000000,1860256,5757763,1041161,28618392,0,0,3577296,3577296
3,3,0.05,1000000,3577295,4929247,469279,28618392,0,0,3577296,3577296
0,6,0.1,100000,1898209,6105546,1095138,28177448,0,0,3522178,3522178
4,6,0.01,1000000,511613,5938839,1260264,28412664,0,0,3539501,3551580
7,6,0.05,10000,3333095,6301907,1072768,27125304,0,0,3390660,3390660
8,6,0.01,1000000,2671132,5679827,1223170,28412664,0,0,3551580,3551580
8,0,0.01,1000000,1766293,5988145,867126,18716496,0,0,2339559,2339559
8,6,0.1,100000,857476,6350143,1138833,28177448,0,0,3522178,3522178
1,5,0.05,1000000,1987465,6269507,988385,28618392,0,0,3577296,3577296
4,0,0.01,100000,264287,6952831,143211,2114328,0,0,264288,264288
9,5,0.01,10000,1832172,5575566,995003,28603320,0,0,3575412,3575412
5,4,0.01,10000,1860276,6081670,802178,28602776,0,0,3575344,3575344
1,5,0.01,100000,2712332,6196562,945256,28617888,0,0,3577233,3577233
0,5,0.01,100000,3577232,5308161,1062803,28617888,0,0,3577233,3577233
2,7,0.05,100000,3358873,5840046,1150812,27368832,0,0,3421101,3421101
1,4,0.1,100000,3577211,5916875,670670,28617720,0,0,3577212,3577212
5,5,0.2,10000,1215818,5999787,1072633,28603320,0,0,3575412,3575412
3,4,0.01,10000,1860276,6027273,954450,28602776,0,0,3575344,3575344
6,0,0.05,1000000,2339558,6443832,1076606,18716496,0,0,2339559,2339559
9,7,0.05,100000,1009860,6782275,1149270,27368832,0,0,3421101,3421101
3,7,0.01,100000,1728967,5734081,834464,27368832,0,0,3421101,3421101
8,3,0.1,1000000,3577295,5814089,586703,28618392,0,0,3577296,3577296
7,6,0.05,100000,3522177,5460013,1394308,28177448,0,0,3522178,3522178
1,5,0.1,1000000,3577295,5929047,904866,28618392,0,0,3577296,3577296
0,7,0.05,10000,1494483,6462658,1067309,24744088,0,0,3093008,3093008
1,0,0.01,1000000,1171769,6504358,988821,18716496,0,0,2339559,2339559
4,0,0.2,100000,259904,6555360,73438,2114328,0,0,264288,264288
3,0,0.05,10000,17872,6886666,946,192152,0,0,24016,24016
8,7,0.01,1000000,2663355,6388730,1112231,28248248,0,0,3531028,3531028
