id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,weight
5,0,0.2,100000,16666,5125267,116231,2114328,0,0,50808,264288
6,0,0.2,10000,1666,6097743,55208,192152,0,0,3957,24016
5,6,0.1,1000000,124999,7488065,1523262,28412664,0,0,3524788,3551580
0,0,0.2,1000000,166666,5449592,840715,18716496,0,0,406042,2339559
3,0,0.1,10000,1249,5341831,933,192152,0,0,3021,24016
4,5,0.2,100000,99999,6401864,795751,28617888,0,0,3577233,3577233
8,4,0.05,1000000,166666,4764035,742755,28618392,0,0,3577276,3577296
5,4,0.1,100000,99999,4904395,701404,28617720,0,0,3577212,3577212
1,4,0.01,10000,1666,5223176,675212,28602776,0,0,3558302,3575344
8,7,0.01,10000,1666,6081488,922126,24744088,0,0,2428904,3093008
9,3,0.05,1000000,249999,5107148,420434,28618392,0,0,3577296,3577296
3,3,0.1,100000,12499,7827891,461779,28618392,0,0,3577296,3577296
2,3,0.01,10000,9999,5235563,393584,28618392,0,0,3577296,3577296
1,0,0.2,1000000,166666,7952588,1132414,18716496,0,0,406042,2339559
4,3,0.05,10000,9999,5125369,423156,28618392,0,0,3577296,3577296
4,5,0.05,100000,24999,5136079,671240,28617888,0,0,3576628,3577233
9,6,0.01,100000,12499,7624809,1225108,28177448,0,0,3421797,3522178
6,3,0.2,1000000,166666,6539031,308867,28618392,0,0,3577296,3577296
4,6,0.2,10000,4999,7395781,1183429,27125304,0,0,3227578,3390660
8,4,0.01,1000000,999999,5098345,822860,28618392,0,0,3577296,3577296
9,6,0.01,1000000,249999,6194725,1310496,28412664,0,0,3531027,3551580
1,4,0.2,1000000,124999,5099015,805515,28618392,0,0,3577251,3577296
2,0,0.01,10000,2499,5168281,61038,192152,0,0,5916,24016
6,3,0.1,100000,49999,5257762,484913,28618392,0,0,3577296,3577296
6,7,0.1,100000,16666,5080630,747320,27368832,0,0,3203628,3421101
7,7,0.01,10000,1249,5470897,803662,24744088,0,0,2332892,3093008
5,3,0.1,10000,9999,6524655,547469,28618392,0,0,3577296,3577296
5,6,0.01,100000,49999,5282029,846764,28177448,0,0,3509476,3522178
3,6,0.05,100000,24999,6083991,1343520,28177448,0,0,3482451,3522178
3,4,0.1,1000000,124999,5264781,739957,28618392,0,0,3577251,3577296
6,0,0.2,100000,16666,5035131,126071,2114328,0,0,50808,264288
0,3,0.05,100000,49999,7490152,522582,28618392,0,0,3577296,3577296
5,7,0.2,100000,24999,5261133,1080099,27368832,0,0,3273316,3421101
0,4,0.1,10000,9999,7418942,1118842,28602776,0,0,3575342,3575344
5,3,0.01,10000,1249,7152694,635184,28618392,0,0,3577296,3577296
1,6,0.05,10000,4999,4972186,979479,27125304,0,0,3227578,3390660
6,0,0.1,100000,16666,7812904,132338,2114328,0,0,50808,264288
7,7,0.05,1000000,249999,7207503,1175825,28248248,0,0,3474855,3531028
1,0,0.01,10000,1249,5468464,50963,192152,0,0,3021,24016
0,7,0.1,100000,12499,7470417,1239937,27368832,0,0,3150124,3421101
6,0,0.2,1000000,249999,5884340,1070000,18716496,0,0,611407,2339559
0,6,0.05,100000,99999,5455710,749681,28177448,0,0,3522178,3522178
2,7,0.05,100000,12499,6466668,1164526,27368832,0,0,3150124,3421101
1,6,0.01,1000000,166666,5291956,1178383,28412664,0,0,3527618,3551580
3,6,0.2,1000000,999999,7867914,1599266,28412664,0,0,3551580,3551580
8,6,0.2,100000,16666,5155838,1141054,28177448,0,0,3452021,3522178
8,0,0.2,1000000,124999,6636389,1060048,18716496,0,0,315016,2339559
7,0,0.1,10000,4999,5485262,940,192152,0,0,12041,24016
9,6,0.2,10000,2499,8047380,1359773,27125304,0,0,2899338,3390660
7,3,0.05,1000000,999999,7188234,565978,28618392,0,0,3577296,3577296
7,5,0.05,1000000,249999,6452103,907739,28618392,0,0,3577286,3577296
9,4,0.1,100000,49999,4855374,636743,28617720,0,0,3576994,3577212
1,5,0.01,100000,49999,5153197,610974,28617888,0,0,3577025,3577233
8,5,0.1,10000,9999,5259273,701994,28603320,0,0,3575410,3575412
8,5,0.1,100000,12499,7137473,1116891,28617888,0,0,3575864,3577233
0,7,0.05,10000,1666,6508767,934800,24744088,0,0,2428904,3093008
1,7,0.05,1000000,499999,5378345,835761,28248248,0,0,3505738,3531028
2,4,0.01,1000000,249999,5385460,780207,28618392,0,0,3577292,3577296
8,7,0.01,10000,4999,5395861,696072,24744088,0,0,2853787,3093008
2,5,0.2,100000,99999,7558082,779965,28617888,0,0,3577233,3577233
7,0,0.1,1000000,166666,6842822,926145,18716496,0,0,406042,2339559
7,3,0.2,100000,99999,5422920,415174,28618392,0,0,3577296,3577296
3,4,0.05,10000,2499,5352496,758162,28602776,0,0,3566981,3575344
7,0,0.01,100000,99999,6650494,98298,2114328,0,0,264286,264288
8,3,0.05,10000,4999,6554311,487611,28618392,0,0,3577296,3577296
6,4,0.1,1000000,166666,5325112,769665,28618392,0,0,3577276,3577296
2,4,0.1,10000,9999,7235919,842779,28602776,0,0,3575342,3575344
4,7,0.01,100000,16666,5630231,828294,27368832,0,0,3203628,3421101
6,4,0.01,1000000,166666,5302526,650244,28618392,0,0,3577276,3577296
0,5,0.1,100000,12499,6580456,836812,28617888,0,0,3575864,3577233
7,7,0.05,100000,16666,6230363,1205015,27368832,0,0,3203628,3421101
8,7,0.05,1000000,499999,6852792,1045754,28248248,0,0,3505738,3531028
5,4,0.05,1000000,999999,5415627,533493,28618392,0,0,3577296,3577296
1,0,0.1,1000000,124999,7033720,792007,18716496,0,0,315016,2339559
8,4,0.2,1000000,124999,6260962,859796,28618392,0,0,3577251,3577296
2,0,0.01,100000,16666,5374740,63270,2114328,0,0,50808,264288
0,0,0.05,10000,2499,4929268,952,192152,0,0,5916,24016
2,0,0.2,10000,9999,5942412,1032,192152,0,0,24013,24016
3,0,0.2,1000000,999999,5570802,808601,18716496,0,0,2339557,2339559
0,7,0.2,10000,9999,5219577,680116,24744088,0,0,3092953,3093008
6,5,0.2,10000,1249,5399277,699483,28603320,0,0,3547772,3575412
7,4,0.2,1000000,124999,4674033,781444,28618392,0,0,3577251,3577296
2,7,0.05,10000,9999,5360155,503580,24744088,0,0,3092953,3093008
5,4,0.01,10000,1666,6358721,655779,28602776,0,0,3558302,3575344
5,4,0.1,1000000,249999,7644133,1091792,28618392,0,0,3577292,3577296
1,7,0.2,10000,1666,7164515,989201,24744088,0,0,2428904,3093008
3,3,0.1,100000,24999,5034967,336465,28618392,0,0,3577296,3577296
6,3,0.01,100000,12499,7047371,404624,28618392,0,0,3577296,3577296
6,4,0.2,10000,9999,5320644,652486,28602776,0,0,3575342,3575344
1,3,0.05,1000000,249999,4911055,451044,28618392,0,0,3577296,3577296
1,0,0.1,1000000,499999,7785592,1126022,18716496,0,0,1216912,2339559
9,7,0.01,1000000,499999,6499184,987069,28248248,0,0,3505738,3531028
9,3,0.01,1000000,166666,4937916,431621,28618392,0,0,3577296,3577296
9,6,0.1,100000,49999,4953426,968324,28177448,0,0,3509476,3522178
8,4,0.01,10000,4999,6629948,1041267,28602776,0,0,3572608,3575344
3,4,0.1,100000,49999,4600676,691657,28617720,0,0,3576994,3577212
5,6,0.1,1000000,166666,8033839,1513319,28412664,0,0,3527618,3551580
9,5,0.1,100000,24999,4754179,984273,28617888,0,0,3576628,3577233
4,6,0.05,10000,1666,5151514,962060,27125304,0,0,2647545,3390660
8,7,0.05,1000000,166666,5646631,981008,28248248,0,0,3452916,3531028
7,6,0.01,10000,4999,6349687,756578,27125304,0,0,3227578,3390660
7,6,0.05,10000,1249,6092518,942021,27125304,0,0,2454402,3390660
9,5,0.1,1000000,499999,6427964,879295,28618392,0,0,3577294,3577296
7,4,0.05,10000,1249,4910040,776648,28602776,0,0,3547660,3575344
8,3,0.2,10000,4999,4576400,391162,28618392,0,0,3577296,3577296
2,3,0.2,1000000,499999,5353941,404799,28618392,0,0,3577296,3577296
0,3,0.01,100000,24999,5202031,429203,28618392,0,0,3577296,3577296
5,5,0.05,1000000,166666,5586884,844446,28618392,0,0,3577279,3577296
1,3,0.2,10000,9999,5015979,497566,28618392,0,0,3577296,3577296
1,5,0.05,100000,99999,5483778,643407,28617888,0,0,3577233,3577233
2,7,0.1,10000,4999,7676452,1024157,24744088,0,0,2853787,3093008
0,7,0.1,10000,1666,5236189,609777,24744088,0,0,2428904,3093008
4,7,0.01,10000,2499,5208647,834778,24744088,0,0,2560434,3093008
0,7,0.2,10000,1666,6375884,826394,24744088,0,0,2428904,3093008
8,6,0.2,10000,4999,6835867,1072762,27125304,0,0,3227578,3390660
2,6,0.05,10000,1666,4871082,895346,27125304,0,0,2647545,3390660
7,6,0.2,100000,24999,4978325,1051024,28177448,0,0,3482451,3522178
7,5,0.01,10000,9999,4880305,666010,28603320,0,0,3575410,3575412
3,7,0.1,10000,4999,6066134,760936,24744088,0,0,2853787,3093008
1,3,0.2,100000,99999,7262258,403235,28618392,0,0,3577296,3577296
3,5,0.1,100000,99999,6332292,615247,28617888,0,0,3577233,3577233
3,0,0.2,100000,99999,7925157,116815,2114328,0,0,264286,264288
6,0,0.01,100000,99999,7351057,93259,2114328,0,0,264286,264288
