id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,rank
8,5,0.2,1000000,0.75,619645,1,168,261,23,8,2714523
8,3,0.01,1000000,0.25,7058594,2,19272,3504348,23,6,3538840
2,5,0.2,100000,1.0,625338,1,288,277,23,99513,3577232
9,4,0.05,10000,0.75,754073,1,984,523495,23,15,2778730
3,4,0.01,1000000,0.75,2911224,2,10752,1895217,23,15,2690337
0,5,0.1,1000000,0.5,634508,1,840,16343,23,4,1695850
2,4,0.2,100000,0.0,621459,1,144,52,22,3,1677330
0,6,0.05,1000000,0.5,687650,1,504,213470,23,485,1942447
7,4,0.01,1000000,1.0,2905744,2,10752,1895217,23,453190,3577295
7,7,0.01,1000000,0.5,2038117,1,8112,1375496,23,185,1771731
9,7,0.01,1000000,0.0,2038044,1,8112,1375496,23,0,1145441
3,4,0.1,100000,0.75,637737,1,648,46973,23,22,3269213
9,0,0.01,100000,0.75,662003,2,2760,136081,23,79830,201306
0,3,0.2,1000000,0.25,895856,0,1080,2152038,23,6,2859158
7,6,0.01,1000000,0.0,1674359,1,4968,1133679,23,0,511613
9,5,0.1,100000,0.75,632276,1,240,16402,23,13,2749578
8,6,0.05,1000000,1.0,689933,0,504,213470,23,999896,3551579
9,5,0.01,1000000,0.5,2850443,1,10320,1835851,23,5,1832153
7,4,0.2,10000,0.75,634331,0,144,58,22,9,2865683
0,7,0.01,10000,0.0,2159980,2,8376,1399236,23,0,1149864
4,0,0.1,100000,0.5,618212,1,984,122827,23,43137,146757
8,4,0.05,1000000,0.75,750817,1,960,520169,23,15,2778730
5,5,0.05,100000,0.25,740475,1,840,451585,23,1,941344
5,3,0.01,100000,0.25,7024135,1,19272,3504348,23,6,3538840
5,6,0.2,10000,0.25,626806,1,168,56,22,12,1182085
9,3,0.01,10000,0.0,7036508,3,19272,3504348,23,6,3538840
3,7,0.1,10000,0.25,720970,1,816,572654,23,0,871629
1,5,0.01,100000,1.0,2840557,2,10200,1836870,23,99513,3577232
4,7,0.05,1000000,1.0,836774,1,1704,832354,23,50774,3444127
3,3,0.01,10000,0.5,7060122,1,19272,3504348,23,6,3538840
5,4,0.2,10000,1.0,614352,1,144,58,22,10000,3575343
8,5,0.05,1000000,0.75,742555,1,840,458984,23,19,2970122
3,5,0.01,100000,0.25,2839008,1,10200,1836870,23,1,1082144
5,5,0.2,1000000,1.0,621817,1,168,261,23,542196,3577295
